         63773119 function calls (62897781 primitive calls) in 80.512 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
  1933238    7.426    0.000   28.122    0.000 C:\Users\abhil\anaconda3\Lib\site-packages\pandas\core\series.py:992(__getitem__)
       42    5.674    0.135    5.674    0.135 {method 'run_backward' of 'torch._C._EngineBase' objects}
  1933238    4.617    0.000   12.975    0.000 C:\Users\abhil\anaconda3\Lib\site-packages\pandas\core\series.py:1099(_get_value)
    16866    4.383    0.000    4.383    0.000 {built-in method torch._C._nn.linear}
16211724/16211680    4.018    0.000    5.348    0.000 {built-in method builtins.isinstance}
210972/210970    3.453    0.000   32.408    0.000 C:\Users\abhil\anaconda3\Lib\site-packages\pandas\core\series.py:368(__init__)
  1933238    3.249    0.000    4.833    0.000 C:\Users\abhil\anaconda3\Lib\site-packages\pandas\core\indexing.py:2609(check_dict_or_set_indexers)
  1933238    2.774    0.000    4.928    0.000 C:\Users\abhil\anaconda3\Lib\site-packages\pandas\core\indexes\base.py:3625(get_loc)
   211023    2.206    0.000   11.453    0.000 C:\Users\abhil\anaconda3\Lib\site-packages\pandas\core\construction.py:494(sanitize_array)
   211023    1.999    0.000    4.381    0.000 {pandas._libs.lib.maybe_convert_objects}
  1933238    1.769    0.000    1.769    0.000 {method 'get_loc' of 'pandas._libs.index.IndexEngine' objects}
   210971    1.531    0.000    2.140    0.000 C:\Users\abhil\anaconda3\Lib\site-packages\pandas\core\generic.py:5931(__finalize__)
  1933243    1.498    0.000    1.616    0.000 C:\Users\abhil\anaconda3\Lib\site-packages\pandas\core\internals\managers.py:2011(internal_values)
        1    1.491    1.491   68.470   68.470 c:\Users\abhil\Documents\Programming\Machine Learning\Phonology Generator\main.py:15(load_data)
  1933243    1.463    0.000    3.079    0.000 C:\Users\abhil\anaconda3\Lib\site-packages\pandas\core\series.py:718(_values)
   210970    1.383    0.000    3.965    0.000 C:\Users\abhil\anaconda3\Lib\site-packages\pandas\core\internals\blocks.py:2385(new_block)
   104702    1.243    0.000   14.787    0.000 c:\Users\abhil\Documents\Programming\Machine Learning\Phonology Generator\language.py:36(set_poa)
3487168/2643220    1.220    0.000    1.739    0.000 {built-in method builtins.len}
   211020    1.179    0.000    5.630    0.000 C:\Users\abhil\anaconda3\Lib\site-packages\pandas\core\dtypes\cast.py:1171(maybe_infer_to_datetimelike)
   210970    1.156    0.000   35.951    0.000 C:\Users\abhil\anaconda3\Lib\site-packages\pandas\core\frame.py:1354(iterrows)
  1933238    1.105    0.000    1.508    0.000 C:\Users\abhil\anaconda3\Lib\site-packages\pandas\core\common.py:367(apply_if_callable)
   210974    1.093    0.000    1.332    0.000 C:\Users\abhil\anaconda3\Lib\site-packages\pandas\core\generic.py:265(__init__)
   210972    0.920    0.000    3.893    0.000 C:\Users\abhil\anaconda3\Lib\site-packages\pandas\core\generic.py:5991(__setattr__)
   210971    0.761    0.000    1.866    0.000 C:\Users\abhil\anaconda3\Lib\site-packages\pandas\_config\config.py:116(_get_single_key)
   210975    0.741    0.000    1.196    0.000 C:\Users\abhil\anaconda3\Lib\site-packages\pandas\core\series.py:621(name)
  3866481    0.707    0.000    0.707    0.000 {pandas._libs.lib.is_integer}
   210970    0.701    0.000    5.181    0.000 C:\Users\abhil\anaconda3\Lib\site-packages\pandas\core\internals\managers.py:1873(from_array)
   211023    0.674    0.000    2.382    0.000 C:\Users\abhil\anaconda3\Lib\site-packages\numpy\core\numeric.py:290(full)
   844308    0.584    0.000    1.329    0.000 C:\Users\abhil\anaconda3\Lib\site-packages\pandas\core\dtypes\generic.py:42(_instancecheck)
   210972    0.572    0.000    0.727    0.000 C:\Users\abhil\anaconda3\Lib\site-packages\pandas\core\internals\blocks.py:2334(get_block_type)
   844308    0.571    0.000    0.745    0.000 C:\Users\abhil\anaconda3\Lib\site-packages\pandas\core\dtypes\generic.py:37(_check)
   210971    0.559    0.000    1.981    0.000 C:\Users\abhil\anaconda3\Lib\site-packages\pandas\core\generic.py:723(_set_axis)
   210970    0.555    0.000    0.957    0.000 C:\Users\abhil\anaconda3\Lib\site-packages\pandas\core\internals\blocks.py:2305(maybe_coerce_values)
   210971    0.544    0.000    0.695    0.000 C:\Users\abhil\anaconda3\Lib\site-packages\pandas\_config\config.py:596(_get_root)
211073/211072    0.533    0.000    0.539    0.000 {built-in method numpy.core._multiarray_umath.implement_array_function}
   421942    0.530    0.000    0.530    0.000 C:\Users\abhil\anaconda3\Lib\site-packages\pandas\_config\config.py:610(_get_deprecated_option)
   210974    0.527    0.000    1.776    0.000 C:\Users\abhil\anaconda3\Lib\site-packages\pandas\core\series.py:671(name)
   843892    0.519    0.000    0.661    0.000 C:\Users\abhil\anaconda3\Lib\site-packages\pandas\core\indexes\base.py:875(__len__)
   211024    0.501    0.000    1.105    0.000 <__array_function__ internals>:177(copyto)
